Provider,Server_Type,Region,OS_Type,Hour,Active_Users,Network_Packets_In,Disk_IO_Speed,Memory_Usage_Percent,CPU_Load
GCP,Micro,US-East,Ubuntu,6,35,490,167.9,24.9,20.5
AWS,Micro,AP-South,Linux,19,17,170,43.4,24.9,17.6
AWS,Micro,US-East,Linux,14,109,981,91.0,42.3,49.6
GCP,X-Large,AP-South,Windows,10,3799,53186,43.9,68.2,84.2
Azure,X-Large,US-East,Windows,7,1477,19201,56.6,50.2,40.7
AWS,Micro,EU-West,Linux,20,96,576,103.2,33.3,33.7
AWS,X-Large,US-East,Linux,6,4369,39321,18.3,53.0,69.8
AWS,Large,US-East,Linux,18,1139,11390,47.5,52.5,76.6
GCP,Micro,EU-West,Linux,22,23,253,187.4,22.7,18.1
AWS,Large,AP-South,Ubuntu,10,533,4797,95.9,41.1,33.7
GCP,Large,AP-South,Ubuntu,10,201,2613,91.9,26.7,9.6
GCP,X-Large,EU-West,Ubuntu,23,1374,6870,7.8,33.9,35.0
GCP,X-Large,EU-West,Windows,20,3340,36740,53.2,67.4,77.4
AWS,Micro,EU-West,Linux,3,78,1092,173.9,35.9,39.2
GCP,Large,EU-West,Ubuntu,7,1204,13244,37.1,49.4,71.9
Azure,X-Large,EU-West,Linux,23,1552,12416,85.9,33.3,33.8
AWS,Large,US-East,Linux,2,517,6721,7.8,39.0,32.9
AWS,X-Large,AP-South,Windows,21,2525,22725,98.3,63.8,54.1
AWS,Large,EU-West,Ubuntu,20,580,4640,9.1,38.0,42.5
AWS,Micro,AP-South,Ubuntu,1,120,1320,164.8,45.1,48.2
AWS,X-Large,EU-West,Linux,23,1013,8104,165.8,22.6,31.0
GCP,Micro,US-East,Ubuntu,11,93,651,158.6,42.1,41.3
GCP,Large,US-East,Ubuntu,5,329,4277,60.3,31.2,22.0
AWS,Large,US-East,Linux,1,1037,12444,168.3,48.3,67.4
GCP,Micro,US-East,Linux,20,154,770,110.9,51.1,69.1
AWS,Large,AP-South,Windows,0,1090,11990,77.9,75.4,74.6
GCP,X-Large,US-East,Ubuntu,11,4928,64064,126.9,58.4,83.5
GCP,X-Large,AP-South,Linux,21,3040,36480,7.4,41.8,58.8
GCP,Large,EU-West,Ubuntu,11,227,2724,32.9,24.2,14.0
GCP,Large,EU-West,Ubuntu,16,265,2650,149.7,26.4,17.9
Azure,Large,US-East,Linux,9,1386,11088,52.6,55.9,82.4
AWS,Large,AP-South,Ubuntu,15,1452,17424,121.6,61.3,86.1
Azure,X-Large,EU-West,Ubuntu,14,1260,8820,80.1,32.6,21.9
GCP,X-Large,EU-West,Windows,14,3046,39598,171.7,59.1,68.4
Azure,Large,EU-West,Ubuntu,18,659,3954,190.7,36.1,41.6
AWS,Micro,EU-West,Windows,11,193,1158,177.3,77.1,98.7
AWS,Micro,US-East,Windows,22,173,1903,57.8,74.5,77.5
GCP,X-Large,US-East,Linux,19,1300,18200,42.9,32.9,21.3
Azure,Micro,US-East,Ubuntu,2,160,1280,97.5,51.9,65.0
Azure,Large,EU-West,Ubuntu,4,486,6804,6.4,36.3,38.6
Azure,Micro,US-East,Windows,18,148,1776,10.0,69.2,76.6
AWS,X-Large,EU-West,Linux,6,4081,53053,112.9,54.7,72.2
AWS,Large,US-East,Windows,20,829,9119,106.5,64.7,54.3
Azure,Large,US-East,Windows,8,469,4221,198.9,54.2,34.5
AWS,X-Large,AP-South,Windows,6,3639,43668,44.4,75.0,67.7
AWS,Micro,AP-South,Ubuntu,17,102,816,55.3,35.7,49.6
Azure,X-Large,EU-West,Ubuntu,3,2801,16806,27.1,40.8,49.8
AWS,X-Large,EU-West,Ubuntu,13,3891,38910,183.9,51.6,64.1
Azure,Micro,EU-West,Ubuntu,17,103,1339,156.7,42.9,41.6
Azure,Large,AP-South,Linux,8,1480,7400,165.4,60.5,87.5
GCP,Micro,US-East,Windows,20,142,1988,181.0,70.4,71.7
Azure,Micro,AP-South,Linux,1,29,319,107.4,27.2,20.6
AWS,Large,US-East,Windows,19,1171,16394,93.0,68.9,70.9
GCP,Large,EU-West,Windows,14,712,9256,69.4,54.6,51.6
Azure,X-Large,AP-South,Linux,6,3360,47040,119.9,51.1,59.9
GCP,Micro,EU-West,Linux,11,73,949,93.6,36.8,40.5
AWS,Large,US-East,Windows,7,1085,15190,93.1,75.6,76.5
Azure,Micro,US-East,Ubuntu,14,37,259,187.7,30.2,24.0
AWS,Micro,AP-South,Ubuntu,2,130,1170,196.9,50.0,49.8
GCP,Large,AP-South,Windows,13,1330,15960,160.3,75.2,87.9
Azure,Large,AP-South,Windows,16,886,10632,152.6,62.0,60.6
GCP,Micro,EU-West,Linux,3,174,1392,137.7,54.7,80.9
GCP,Large,US-East,Linux,17,504,2520,37.4,31.1,29.3
Azure,Micro,AP-South,Ubuntu,7,129,645,16.5,44.7,57.5
GCP,Large,EU-West,Ubuntu,3,355,2840,139.7,25.3,21.0
AWS,X-Large,EU-West,Linux,1,2390,23900,147.1,38.7,48.0
GCP,Large,EU-West,Ubuntu,5,819,9828,14.2,41.0,43.3
AWS,Micro,US-East,Ubuntu,21,198,1980,186.0,59.7,86.9
AWS,Large,AP-South,Linux,9,533,6929,22.8,34.3,34.4
GCP,Micro,AP-South,Ubuntu,3,139,1807,60.8,50.6,54.2
AWS,Large,EU-West,Linux,21,1168,7008,136.1,52.5,58.8
Azure,Micro,AP-South,Windows,17,46,644,38.1,48.5,36.5
AWS,Micro,US-East,Ubuntu,11,29,145,15.8,25.0,18.4
AWS,Large,AP-South,Linux,1,481,2886,69.6,35.8,32.5
AWS,Micro,EU-West,Ubuntu,9,38,342,154.4,29.6,16.2
Azure,X-Large,US-East,Windows,3,4072,32576,85.7,73.4,88.6
Azure,X-Large,AP-South,Windows,13,3166,25328,132.3,72.1,63.1
Azure,Large,US-East,Windows,15,1258,16354,118.0,74.2,82.5
GCP,Micro,AP-South,Linux,14,68,816,9.3,34.9,33.5
Azure,Micro,US-East,Linux,7,78,780,197.8,36.2,34.5
AWS,Micro,EU-West,Windows,13,170,850,13.1,72.9,87.8
Azure,Large,EU-West,Ubuntu,22,1208,7248,193.7,51.3,67.3
Azure,Large,EU-West,Ubuntu,7,890,8900,112.2,41.7,47.0
AWS,X-Large,US-East,Windows,20,2229,13374,192.8,57.8,47.0
GCP,Micro,US-East,Windows,15,21,294,27.4,48.6,27.6
Azure,X-Large,EU-West,Ubuntu,12,1489,13401,100.6,33.3,29.1
GCP,Large,EU-West,Windows,17,475,4275,38.1,46.4,41.6
GCP,Large,US-East,Ubuntu,14,892,8920,14.9,46.1,46.8
GCP,X-Large,US-East,Windows,20,3289,32890,125.4,68.8,71.9
AWS,Micro,US-East,Ubuntu,23,52,520,45.5,24.4,24.9
GCP,Micro,US-East,Windows,12,135,810,119.6,64.4,63.9
GCP,Micro,US-East,Ubuntu,8,59,826,26.9,30.7,31.7
AWS,Large,AP-South,Windows,14,1408,9856,69.7,81.9,98.5
GCP,Micro,AP-South,Linux,12,48,480,157.4,26.9,32.6
GCP,Micro,AP-South,Windows,0,193,2316,90.2,77.2,94.7
AWS,X-Large,US-East,Ubuntu,6,3542,17710,127.4,45.9,63.3
AWS,X-Large,US-East,Ubuntu,8,3474,17370,131.3,45.4,66.7
Azure,X-Large,US-East,Windows,23,4249,25494,169.5,80.1,73.2
Azure,X-Large,EU-West,Linux,0,1918,19180,68.4,32.1,37.9
Azure,Large,EU-West,Windows,11,350,4550,139.0,47.6,32.9
GCP,Micro,EU-West,Ubuntu,7,137,1096,192.5,49.8,59.8
GCP,Large,EU-West,Ubuntu,23,507,3549,147.4,34.3,35.3
GCP,Micro,AP-South,Windows,10,89,1068,100.5,61.0,50.6
AWS,Large,US-East,Windows,18,945,13230,128.0,63.0,55.8
GCP,Micro,AP-South,Windows,16,133,1729,149.2,69.6,63.3
Azure,Micro,US-East,Ubuntu,7,128,1152,124.4,41.7,52.5
AWS,Micro,AP-South,Windows,2,17,221,8.3,40.7,24.5
AWS,Large,EU-West,Ubuntu,2,328,1968,43.0,35.9,20.7
AWS,X-Large,AP-South,Windows,0,2014,14098,163.0,55.5,51.2
Azure,X-Large,AP-South,Ubuntu,4,2799,30789,58.2,45.1,49.2
Azure,Large,US-East,Linux,9,868,9548,147.7,43.4,54.6
Azure,Micro,EU-West,Ubuntu,6,105,1050,77.6,36.6,47.5
AWS,Micro,AP-South,Linux,8,111,1110,106.8,41.7,40.9
AWS,Large,US-East,Ubuntu,6,716,4296,18.3,40.9,40.0
